date-time,time,Rm0
,1622505600.0,26.0
,1622505630.0,26.00147819519043
,1622505660.0,26.002954483032227
,1622505690.0,26.004430770874023
,1622505720.0,26.005905151367188
,1622505750.0,26.00737953186035
,1622505780.0,26.008852005004883
,1622505810.0,26.01032257080078
,1622505840.0,26.01179313659668
,1622505870.0,26.013261795043945
,1622505900.0,26.01473045349121
,1622505930.0,26.016197204589844
,1622505960.0,26.017663955688477
,1622505990.0,26.019128799438477
,1622506020.0,26.020591735839844
,1622506050.0,26.02205467224121
,1622506080.0,26.023515701293945
,1622506110.0,26.02497673034668
,1622506140.0,26.02643585205078
,1622506170.0,26.02789306640625
,1622506200.0,26.02935028076172
,1622506230.0,26.030805587768555
,1622506260.0,26.03226089477539
,1622506290.0,26.033714294433594
,1622506320.0,26.035165786743164
,1622506350.0,26.036617279052734
,1622506380.0,26.038066864013672
,1622506410.0,26.039514541625977
,1622506440.0,26.04096221923828
,1622506470.0,26.042407989501953
,1622506500.0,26.043853759765625
,1622506530.0,26.045297622680664
,1622506560.0,26.04673957824707
,1622506590.0,26.048181533813477
,1622506620.0,26.04962158203125
,1622506650.0,26.05105972290039
,1622506680.0,26.05249786376953
,1622506710.0,26.05393409729004
,1622506740.0,26.055368423461914
,1622506770.0,26.05680274963379
,1622506800.0,26.05823516845703
,1622506830.0,26.05966567993164
,1622506860.0,26.06109619140625
,1622506890.0,26.062524795532227
,1622506920.0,26.06395149230957
,1622506950.0,26.065378189086914
,1622506980.0,26.066802978515625
,1622507010.0,26.068225860595703
,1622507040.0,26.06964874267578
,1622507070.0,26.071069717407227
,1622507100.0,26.07248878479004
,1622507130.0,26.07390785217285
,1622507160.0,26.07532501220703
,1622507190.0,26.076740264892578
,1622507220.0,26.078155517578125
,1622507250.0,26.07956886291504
,1622507280.0,26.08098030090332
,1622507310.0,26.0823917388916
,1622507340.0,26.08380126953125
,1622507370.0,26.085208892822266
,1622507400.0,26.08661460876465
,1622507430.0,26.08802032470703
,1622507460.0,26.08942413330078
,1622507490.0,26.0908260345459
,1622507520.0,26.092227935791016
,1622507550.0,26.0936279296875
,1622507580.0,26.09502601623535
,1622507610.0,26.09642219543457
,1622507640.0,26.09781837463379
,1622507670.0,26.099212646484375
,1622507700.0,26.100605010986328
,1622507730.0,26.10199737548828
,1622507760.0,26.1033878326416
,1622507790.0,26.10477638244629
,1622507820.0,26.106163024902344
,1622507850.0,26.1075496673584
,1622507880.0,26.10893440246582
,1622507910.0,26.11031723022461
,1622507940.0,26.111698150634766
,1622507970.0,26.113079071044922
,1622508000.0,26.114458084106445
,1622508030.0,26.115835189819336
,1622508060.0,26.117210388183594
,1622508090.0,26.11858558654785
,1622508120.0,26.119958877563477
,1622508150.0,26.12133026123047
,1622508180.0,26.122699737548828
,1622508210.0,26.124069213867188
,1622508240.0,26.125436782836914
,1622508270.0,26.126802444458008
