CMDLINE /Users/benfourcin/miniconda3/envs/ben-wk/bin/python memory_profile.py
MEM 160.246094 1645013997.4538
MEM 160.246094 1645013997.5588
MEM 160.246094 1645013997.6601
MEM 160.246094 1645013997.7607
MEM 160.246094 1645013997.8627
MEM 160.246094 1645013997.9633
MEM 160.246094 1645013998.0672
MEM 160.246094 1645013998.1721
MEM 160.246094 1645013998.2742
MEM 160.250000 1645013998.3790
MEM 160.250000 1645013998.4836
MEM 160.250000 1645013998.5881
MEM 160.250000 1645013998.6915
MEM 160.250000 1645013998.7965
MEM 160.250000 1645013998.8980
MEM 160.250000 1645013999.0031
MEM 160.250000 1645013999.1047
MEM 160.250000 1645013999.2067
MEM 160.253906 1645013999.3117
MEM 160.253906 1645013999.4145
MEM 160.253906 1645013999.5195
MEM 160.253906 1645013999.6239
MEM 160.253906 1645013999.7284
MEM 160.253906 1645013999.8336
MEM 160.253906 1645013999.9359
MEM 160.253906 1645014000.0412
MEM 160.253906 1645014000.1433
MEM 160.253906 1645014000.2445
MEM 160.257812 1645014000.3453
MEM 160.257812 1645014000.4505
MEM 160.257812 1645014000.5535
MEM 160.257812 1645014000.6550
MEM 160.257812 1645014000.7578
MEM 160.257812 1645014000.8604
MEM 160.257812 1645014000.9617
MEM 160.257812 1645014001.0627
MEM 160.257812 1645014001.1661
MEM 160.257812 1645014001.2701
MEM 160.261719 1645014001.3748
MEM 160.261719 1645014001.4762
MEM 160.292969 1645014001.5778
MEM 160.292969 1645014001.6792
MEM 160.292969 1645014001.7799
MEM 160.292969 1645014001.8824
MEM 160.292969 1645014001.9865
MEM 160.292969 1645014002.0897
MEM 160.292969 1645014002.1940
MEM 160.296875 1645014002.2965
MEM 160.296875 1645014002.3968
MEM 160.296875 1645014002.4979
MEM 160.296875 1645014002.5987
MEM 160.296875 1645014002.7002
MEM 160.296875 1645014002.8027
MEM 160.296875 1645014002.9050
MEM 160.296875 1645014003.0059
MEM 160.296875 1645014003.1087
MEM 160.296875 1645014003.2124
MEM 160.300781 1645014003.3129
MEM 160.304688 1645014003.4156
MEM 160.304688 1645014003.5205
MEM 160.304688 1645014003.6246
MEM 160.304688 1645014003.7293
MEM 160.304688 1645014003.8297
MEM 160.304688 1645014003.9318
MEM 160.304688 1645014004.0343
MEM 160.304688 1645014004.1366
MEM 160.304688 1645014004.2408
MEM 160.308594 1645014004.3436
MEM 160.308594 1645014004.4467
MEM 160.312500 1645014004.5481
MEM 160.312500 1645014004.6505
MEM 160.312500 1645014004.7533
MEM 160.312500 1645014004.8556
MEM 160.312500 1645014004.9558
MEM 160.312500 1645014005.0569
MEM 160.312500 1645014005.1586
MEM 160.312500 1645014005.2637
MEM 160.316406 1645014005.3668
MEM 160.316406 1645014005.4694
MEM 160.316406 1645014005.5701
MEM 160.316406 1645014005.6703
MEM 160.316406 1645014005.7712
MEM 160.316406 1645014005.8727
MEM 160.316406 1645014005.9752
MEM 160.316406 1645014006.0759
MEM 160.316406 1645014006.1779
MEM 160.316406 1645014006.2822
MEM 160.324219 1645014006.3866
MEM 160.324219 1645014006.4891
MEM 160.324219 1645014006.5900
MEM 160.324219 1645014006.6929
MEM 160.324219 1645014006.7979
MEM 160.324219 1645014006.8992
MEM 160.324219 1645014007.0019
MEM 160.324219 1645014007.1041
MEM 160.324219 1645014007.2058
MEM 160.324219 1645014007.3107
MEM 160.324219 1645014007.4152
MEM 160.324219 1645014007.5201
MEM 160.324219 1645014007.6203
MEM 160.324219 1645014007.7235
MEM 160.324219 1645014007.8261
MEM 160.324219 1645014007.9297
MEM 160.324219 1645014008.0346
MEM 160.324219 1645014008.1373
MEM 160.324219 1645014008.2421
MEM 160.328125 1645014008.3441
MEM 160.328125 1645014008.4466
MEM 160.328125 1645014008.5484
MEM 160.328125 1645014008.6507
MEM 160.328125 1645014008.7547
MEM 160.328125 1645014008.8568
MEM 160.328125 1645014008.9589
MEM 160.328125 1645014009.0612
MEM 160.328125 1645014009.1641
MEM 160.328125 1645014009.2663
MEM 160.335938 1645014009.3702
MEM 160.335938 1645014009.4751
MEM 160.335938 1645014009.5783
MEM 160.335938 1645014009.6797
MEM 160.335938 1645014009.7841
MEM 160.335938 1645014009.8867
MEM 160.335938 1645014009.9894
MEM 160.335938 1645014010.0919
MEM 160.335938 1645014010.1931
MEM 160.335938 1645014010.2978
MEM 160.339844 1645014010.4007
MEM 160.339844 1645014010.5018
MEM 160.339844 1645014010.6020
MEM 160.339844 1645014010.7071
MEM 160.339844 1645014010.8120
MEM 160.339844 1645014010.9145
MEM 160.339844 1645014011.0150
MEM 160.339844 1645014011.1202
MEM 160.339844 1645014011.2243
MEM 160.339844 1645014011.3269
MEM 160.347656 1645014011.4305
MEM 160.378906 1645014011.5328
MEM 160.378906 1645014011.6367
MEM 160.378906 1645014011.7417
MEM 160.378906 1645014011.8464
MEM 160.378906 1645014011.9469
MEM 160.378906 1645014012.0485
MEM 160.378906 1645014012.1506
MEM 160.378906 1645014012.2524
MEM 160.378906 1645014012.3547
MEM 160.382812 1645014012.4589
MEM 160.386719 1645014012.5615
MEM 160.386719 1645014012.6643
MEM 160.386719 1645014012.7655
MEM 160.386719 1645014012.8661
MEM 160.386719 1645014012.9713
MEM 160.386719 1645014013.0717
MEM 160.386719 1645014013.1757
MEM 160.386719 1645014013.2804
MEM 160.394531 1645014013.3810
MEM 160.394531 1645014013.4859
MEM 160.394531 1645014013.5885
MEM 160.394531 1645014013.6907
MEM 160.394531 1645014013.7945
MEM 160.394531 1645014013.8991
MEM 160.394531 1645014014.0027
MEM 160.394531 1645014014.1070
MEM 160.394531 1645014014.2080
MEM 160.394531 1645014014.3091
MEM 160.406250 1645014014.4095
MEM 160.406250 1645014014.5137
MEM 160.406250 1645014014.6159
MEM 160.406250 1645014014.7202
MEM 160.406250 1645014014.8219
MEM 160.406250 1645014014.9234
MEM 160.406250 1645014015.0251
MEM 160.406250 1645014015.1301
MEM 160.406250 1645014015.2307
MEM 160.406250 1645014015.3347
MEM 160.406250 1645014015.4367
MEM 160.406250 1645014015.5393
MEM 160.406250 1645014015.6415
MEM 160.406250 1645014015.7423
MEM 160.406250 1645014015.8472
MEM 160.406250 1645014015.9487
MEM 160.406250 1645014016.0506
MEM 160.406250 1645014016.1558
MEM 160.406250 1645014016.2590
MEM 160.410156 1645014016.3593
MEM 160.410156 1645014016.4599
MEM 160.410156 1645014016.5611
MEM 160.410156 1645014016.6613
MEM 160.410156 1645014016.7622
MEM 160.410156 1645014016.8670
MEM 160.410156 1645014016.9721
MEM 160.410156 1645014017.0760
MEM 160.410156 1645014017.1799
MEM 160.421875 1645014017.2837
MEM 160.425781 1645014017.3888
MEM 160.425781 1645014017.4901
MEM 160.425781 1645014017.5942
MEM 160.425781 1645014017.6979
MEM 160.425781 1645014017.8027
MEM 160.425781 1645014017.9054
MEM 160.425781 1645014018.0065
MEM 160.425781 1645014018.1099
MEM 160.425781 1645014018.2101
MEM 160.425781 1645014018.3110
MEM 160.425781 1645014018.4158
MEM 160.425781 1645014018.5203
MEM 160.425781 1645014018.6221
MEM 160.425781 1645014018.7268
MEM 160.425781 1645014018.8287
MEM 160.425781 1645014018.9326
MEM 160.425781 1645014019.0373
MEM 160.425781 1645014019.1379
MEM 160.425781 1645014019.2409
MEM 160.425781 1645014019.3456
MEM 160.429688 1645014019.4493
MEM 160.429688 1645014019.5539
MEM 160.429688 1645014019.6555
MEM 160.429688 1645014019.7601
MEM 160.429688 1645014019.8616
MEM 160.429688 1645014019.9621
MEM 160.429688 1645014020.0659
MEM 160.429688 1645014020.1703
MEM 160.429688 1645014020.2741
MEM 160.433594 1645014020.3769
MEM 160.433594 1645014020.4799
MEM 160.433594 1645014020.5833
MEM 160.433594 1645014020.6880
MEM 160.433594 1645014020.7889
MEM 160.433594 1645014020.8917
MEM 160.433594 1645014020.9930
MEM 160.433594 1645014021.0945
MEM 160.433594 1645014021.1951
MEM 160.433594 1645014021.2971
MEM 160.437500 1645014021.3984
MEM 160.437500 1645014021.4997
MEM 160.453125 1645014021.6015
MEM 160.453125 1645014021.7024
MEM 160.453125 1645014021.8039
MEM 160.453125 1645014021.9041
MEM 160.453125 1645014022.0086
MEM 160.453125 1645014022.1127
MEM 160.453125 1645014022.2143
MEM 160.453125 1645014022.3157
MEM 160.460938 1645014022.4203
MEM 160.460938 1645014022.5206
MEM 160.460938 1645014022.6216
MEM 160.460938 1645014022.7256
MEM 160.460938 1645014022.8287
MEM 160.460938 1645014022.9298
MEM 160.460938 1645014023.0330
MEM 160.460938 1645014023.1382
MEM 160.460938 1645014023.2406
MEM 160.460938 1645014023.3436
MEM 160.464844 1645014023.4487
MEM 160.464844 1645014023.5528
MEM 160.464844 1645014023.6535
MEM 160.464844 1645014023.7587
MEM 160.464844 1645014023.8636
MEM 160.464844 1645014023.9650
MEM 160.464844 1645014024.0674
MEM 160.464844 1645014024.1719
MEM 160.464844 1645014024.2758
MEM 160.468750 1645014024.3799
MEM 160.468750 1645014024.4805
MEM 160.472656 1645014024.5856
MEM 160.472656 1645014024.6868
MEM 160.472656 1645014024.7920
MEM 160.472656 1645014024.8942
MEM 160.472656 1645014024.9976
MEM 160.472656 1645014025.1020
MEM 160.472656 1645014025.2071
MEM 160.472656 1645014025.3081
MEM 160.476562 1645014025.4131
MEM 160.476562 1645014025.5151
MEM 160.476562 1645014025.6169
MEM 160.476562 1645014025.7204
MEM 160.476562 1645014025.8246
MEM 160.476562 1645014025.9265
MEM 160.476562 1645014026.0315
MEM 160.476562 1645014026.1350
MEM 160.476562 1645014026.2398
MEM 160.476562 1645014026.3412
MEM 160.484375 1645014026.4454
MEM 160.484375 1645014026.5462
MEM 160.484375 1645014026.6494
MEM 160.484375 1645014026.7517
MEM 160.484375 1645014026.8559
MEM 160.484375 1645014026.9579
MEM 160.484375 1645014027.0621
MEM 160.484375 1645014027.1668
MEM 160.496094 1645014027.2704
MEM 160.496094 1645014027.3730
MEM 160.511719 1645014027.4776
MEM 160.511719 1645014027.5785
MEM 160.511719 1645014027.6796
MEM 160.511719 1645014027.7805
MEM 160.511719 1645014027.8812
MEM 160.511719 1645014027.9846
MEM 160.511719 1645014028.0887
MEM 160.511719 1645014028.1938
MEM 160.511719 1645014028.2976
MEM 160.511719 1645014028.3993
MEM 160.511719 1645014028.5044
MEM 160.511719 1645014028.6064
MEM 160.511719 1645014028.7073
MEM 160.511719 1645014028.8076
MEM 160.511719 1645014028.9111
MEM 160.511719 1645014029.0144
MEM 160.511719 1645014029.1148
MEM 160.511719 1645014029.2171
MEM 160.511719 1645014029.3205
MEM 160.515625 1645014029.4230
MEM 160.515625 1645014029.5271
MEM 160.515625 1645014029.6323
MEM 160.515625 1645014029.7370
MEM 160.515625 1645014029.8391
MEM 160.515625 1645014029.9408
MEM 160.515625 1645014030.0436
MEM 160.515625 1645014030.1453
MEM 160.515625 1645014030.2459
MEM 160.515625 1645014030.3480
MEM 160.519531 1645014030.4490
MEM 160.519531 1645014030.5542
MEM 160.519531 1645014030.6574
MEM 160.519531 1645014030.7576
MEM 160.519531 1645014030.8620
MEM 160.519531 1645014030.9650
MEM 160.519531 1645014031.0686
MEM 160.519531 1645014031.1725
MEM 160.519531 1645014031.2749
MEM 160.519531 1645014031.3769
MEM 160.523438 1645014031.4814
MEM 160.523438 1645014031.5859
MEM 160.535156 1645014031.6861
MEM 160.535156 1645014031.7869
MEM 160.535156 1645014031.8880
MEM 160.535156 1645014031.9896
MEM 160.535156 1645014032.0898
MEM 160.535156 1645014032.1908
MEM 160.535156 1645014032.2942
MEM 160.546875 1645014032.3944
MEM 160.546875 1645014032.4969
MEM 160.546875 1645014032.5982
MEM 160.546875 1645014032.6991
MEM 160.546875 1645014032.8025
MEM 160.546875 1645014032.9072
MEM 160.546875 1645014033.0082
MEM 160.546875 1645014033.1088
MEM 160.546875 1645014033.2135
MEM 160.546875 1645014033.3140
MEM 160.550781 1645014033.4143
MEM 160.550781 1645014033.5179
MEM 160.550781 1645014033.6213
MEM 160.550781 1645014033.7238
MEM 160.550781 1645014033.8281
MEM 160.550781 1645014033.9306
MEM 160.550781 1645014034.0350
MEM 160.550781 1645014034.1391
MEM 160.550781 1645014034.2414
MEM 160.550781 1645014034.3451
MEM 160.550781 1645014034.4488
MEM 160.550781 1645014034.5539
MEM 160.550781 1645014034.6587
MEM 160.550781 1645014034.7599
MEM 160.550781 1645014034.8651
MEM 160.550781 1645014034.9683
MEM 160.550781 1645014035.0705
MEM 160.550781 1645014035.1715
MEM 160.550781 1645014035.2766
MEM 160.550781 1645014035.3785
MEM 160.558594 1645014035.4837
MEM 160.558594 1645014035.5870
MEM 160.558594 1645014035.6886
MEM 160.558594 1645014035.7937
MEM 160.558594 1645014035.8950
MEM 160.558594 1645014035.9963
MEM 160.558594 1645014036.0983
MEM 160.558594 1645014036.2029
MEM 160.558594 1645014036.3069
MEM 160.570312 1645014036.4114
MEM 160.570312 1645014036.5134
MEM 160.570312 1645014036.6175
MEM 160.570312 1645014036.7202
MEM 160.570312 1645014036.8205
MEM 160.570312 1645014036.9236
MEM 160.570312 1645014037.0256
MEM 160.570312 1645014037.1263
MEM 160.570312 1645014037.2282
MEM 160.570312 1645014037.3297
MEM 160.578125 1645014037.4331
MEM 160.578125 1645014037.5370
MEM 160.578125 1645014037.6401
MEM 160.578125 1645014037.7446
MEM 160.578125 1645014037.8496
MEM 160.578125 1645014037.9521
MEM 160.578125 1645014038.0549
MEM 160.578125 1645014038.1570
MEM 160.578125 1645014038.2591
MEM 160.578125 1645014038.3610
MEM 160.582031 1645014038.4619
MEM 160.582031 1645014038.5626
MEM 160.582031 1645014038.6629
MEM 160.582031 1645014038.7673
MEM 160.582031 1645014038.8705
MEM 160.582031 1645014038.9707
MEM 160.582031 1645014039.0711
MEM 160.582031 1645014039.1741
MEM 160.582031 1645014039.2779
MEM 160.582031 1645014039.3828
MEM 160.582031 1645014039.4870
MEM 160.582031 1645014039.5880
MEM 160.582031 1645014039.6931
MEM 160.582031 1645014039.7954
MEM 160.582031 1645014039.8966
MEM 160.582031 1645014039.9978
MEM 160.582031 1645014040.0986
MEM 160.582031 1645014040.2034
MEM 160.589844 1645014040.3085
MEM 160.589844 1645014040.4124
MEM 160.593750 1645014040.5140
MEM 160.593750 1645014040.6186
MEM 160.593750 1645014040.7213
MEM 160.593750 1645014040.8239
MEM 160.593750 1645014040.9274
MEM 160.593750 1645014041.0301
MEM 160.593750 1645014041.1346
MEM 160.593750 1645014041.2370
MEM 160.593750 1645014041.3377
MEM 160.597656 1645014041.4391
MEM 160.597656 1645014041.5394
MEM 160.597656 1645014041.6397
MEM 160.621094 1645014041.7440
MEM 160.621094 1645014041.8487
MEM 160.621094 1645014041.9537
MEM 160.621094 1645014042.0540
MEM 160.621094 1645014042.1571
MEM 160.621094 1645014042.2584
MEM 160.621094 1645014042.3630
MEM 160.625000 1645014042.4668
MEM 160.625000 1645014042.5706
MEM 160.625000 1645014042.6742
MEM 160.625000 1645014042.7793
MEM 160.625000 1645014042.8838
MEM 160.625000 1645014042.9874
MEM 160.625000 1645014043.0887
MEM 160.625000 1645014043.1892
MEM 160.625000 1645014043.2914
MEM 160.625000 1645014043.3961
MEM 160.628906 1645014043.4997
MEM 160.628906 1645014043.6029
MEM 160.628906 1645014043.7066
MEM 160.628906 1645014043.8081
MEM 160.628906 1645014043.9123
MEM 160.628906 1645014044.0169
MEM 160.628906 1645014044.1206
MEM 160.628906 1645014044.2217
MEM 160.628906 1645014044.3228
MEM 160.628906 1645014044.4258
MEM 160.628906 1645014044.5271
MEM 160.628906 1645014044.6275
MEM 160.628906 1645014044.7313
MEM 160.628906 1645014044.8323
MEM 160.628906 1645014044.9371
MEM 160.628906 1645014045.0423
MEM 160.628906 1645014045.1459
MEM 160.628906 1645014045.2483
MEM 160.628906 1645014045.3511
MEM 160.632812 1645014045.4545
MEM 160.632812 1645014045.5597
MEM 160.632812 1645014045.6617
MEM 160.632812 1645014045.7648
MEM 160.632812 1645014045.8670
MEM 160.632812 1645014045.9718
MEM 160.632812 1645014046.0748
MEM 160.632812 1645014046.1797
MEM 160.632812 1645014046.2807
MEM 160.632812 1645014046.3857
MEM 160.636719 1645014046.4872
MEM 160.636719 1645014046.5924
MEM 160.636719 1645014046.6976
MEM 160.636719 1645014046.7996
